date,event
2025-04-26,ふらっと学校説明会（中学15組、高校5組）
2025-05-31,ふらっと学校説明会（中学15組、高校5組）
2025-06-07,ふらっと学校説明会（中学15組、高校5組）
2025-06-14,ふらっと学校説明会（中学15組、高校5組）
2025-06-21,ふらっと学校説明会（中学15組、高校5組）
2025-07-05,ふらっと学校説明会（中学15組、高校5組）
2025-07-22,ふらっと学校説明会（中学10組、高校10組）
2025-07-23,ふらっと学校説明会（中学10組、高校10組）
2025-07-24,ふらっと学校説明会（中学10組、高校10組）
2025-07-26,オープンスクール（中学）・午前
2025-07-28,ふらっと学校説明会（中学10組、高校10組）
2025-07-29,ふらっと学校説明会（中学10組、高校10組）
2025-07-30,ふらっと学校説明会（中学10組、高校10組）
2025-07-31,ふらっと学校説明会（中学10組、高校10組）
2025-08-26,ふらっと学校説明会（中学10組、高校10組）
2025-08-27,ふらっと学校説明会（中学10組、高校10組）
2025-08-28,ふらっと学校説明会（中学10組、高校10組）
2025-08-29,ふらっと学校説明会（中学10組、高校10組）
2025-09-06,ふらっと学校説明会（中学10組、高校10組）
2025-09-13,オープンスクール（高校）・午後
2025-09-20,ふらっと学校説明会（中学8組、高校12組）
2025-10-04,学校説明会（部活動紹介【２セット】）
2025-10-18,学校説明会（進路報告・【２セット】）
2025-11-01,学校説明会（海外研修・学校行事【中高別】）
2025-11-15,学校説明会（入試の傾向と対策【中高別】）
2025-12-05,ふらっと学校説明会（中学10組、高校10組）
2025-12-13,ふらっと学校説明会（中学10組、高校10組）
2025-12-20,ふらっと学校説明会（中学10組、高校10組）
2025-12-25,ふらっと学校説明会（中学10組、高校10組）
2025-12-26,ふらっと学校説明会（中学10組、高校10組）
2025-12-27,ふらっと学校説明会（中学10組、高校10組）
