date,event
2025-05-01,
2025-05-02,全 職員会議／学年会
2025-05-03,教職員健康診断
2025-05-04,全 教科会／部会／入学式準備
2025-05-05,全 入学式
2025-05-06,放送設備点検
2025-05-07,全 新入生ガイダンス
2025-05-08,全 新入生ガイダンス／レントゲン／心電図
2025-05-09,全 始業式／ガイダンス／スペリングコンテスト／頭髪服装検査／写真撮影
2025-05-10,全 ガイダンス／頭髪服装検査／写真撮影
2025-05-11,授業開始
2025-05-12,保護者会（中2・3）
2025-05-13,2025みらい子ども進学フェア（TKPガーデンシティ）
2025-05-14,選挙活動
2025-05-15,生徒会長立候補者立会演説（ＨＲ）／生徒会長選挙（ＨＲ）
2025-05-16,全 基礎学力到達度テスト（高1・2）／自宅学習（中学、高3）
2025-05-17,全 基礎学力到達度テスト（高3）／自宅学習（高1・2）／校外学習（中学）
2025-05-18,生徒会長・委員辞令交付
2025-05-19,保護者会（中1、高1）／ウェールズ語学研修参加希望者説明会（高1・2希望者）
2025-05-20,
2025-05-21,スポーツテスト（墨田フィールド、高2・3）
2025-05-22,
2025-05-23,職員会議
2025-05-24,スポーツテスト（墨田フィールド、中2・高1）
2025-05-25,スポーツテスト（墨田フィールド、中1・中3）
2025-05-26,保護者会（高2）／ふらっと学校説明会
2025-05-27,
2025-05-28,スポーツテスト（予備日）
2025-05-29,昭和の日／2025みらい子ども進学フェア（すみだ産業会館）
2025-05-30,スタディーサポート（高校）／学力推移調査（中学）／（授業なし）
2025-05-31,ふらっと学校説明会
